year,paises,acr,rtrc,trpib,manuf,v2clstown_ord,v2clstown_osp,polity2
1970,Argentina,0,.93762708,10.337444,31.544744,3,2.47314,-9
1971,Argentina,0,1.2560014,12.615189,35.763073,3,2.47314,-9
1972,Argentina,0,1.2872578,14.035644,36.358074,3,2.47314,-9
1973,Argentina,0,1.2961192,13.322168,34.334049,3,2.47314,6
1974,Argentina,0,2.8533106,13.19158,34.036884,3,2.47314,6
1975,Argentina,0,3.7300613,11.802724,38.215107,3,2.47314,6
1976,Argentina,0,4.2635689,15.096885,39.11676,3,2.5308161,-9
1977,Argentina,0,4.4551239,16.942287,36.594986,3,2.5308161,-9
1978,Argentina,0,4.7819662,14.323796,34.127609,3,2.5308161,-9
1979,Argentina,0,9.1495237,12.840685,32.685158,3,2.5308161,-9
1980,Argentina,0,9.7583942,11.545672,29.476097,3,2.5308161,-9
1981,Argentina,1,9.2914925,14.292977,28.765236,3,2.5308161,-8
1982,Argentina,1,8.0861101,15.611486,31.360256,3,2.5308161,-8
1983,Argentina,1,6.0237427,14.98767,30.669468,3,2.5308161,8
1984,Argentina,1,7.4790664,12.346381,29.708441,3,2.441556,8
1985,Argentina,1,5.9448104,18.009424,29.641848,3,2.441556,8
1986,Argentina,1,2.7907245,14.486032,27.419598,3,2.441556,8
1987,Argentina,1,3.1219513,15.44897,27.496647,3,2.441556,8
1988,Argentina,1,2.5832915,15.743459,27.999676,3,2.441556,8
1989,Argentina,2,5.2052469,19.637798,30.949371,3,2.562923,7
1990,Argentina,2,3.5507965,14.990859,26.789705,3,2.9394889,7
1991,Argentina,3,2.3629816,13.753055,24.38645,3,2.9394889,7
1992,Argentina,3,2.042299,14.730981,21.859131,3,3.3793719,7
1993,Argentina,3,1.9799296,16.223152,19.501156,3,3.3793719,7
1994,Argentina,3,1.798521,18.134226,19.330929,3,3.3793719,7
1995,Argentina,3,2.1798689,19.771502,18.650341,3,3.3793719,7
1996,Argentina,3,2.71229,21.506359,19.005713,3,3.3793719,7
1997,Argentina,3,2.432308,23.336145,19.803549,3,3.3793719,7
1998,Argentina,3,1.6425307,23.349945,19.366751,3,3.3793719,7
1999,Argentina,3,2.0815451,21.382656,18.321703,3,3.3793719,8
2000,Argentina,3,3.9475865,22.622503,17.809332,3,3.2880239,8
2001,Argentina,3,3.6559775,21.852423,17.235527,3,3.1336441,8
2002,Argentina,3,8.6925097,41.75275,21.574636,3,3.1336441,8
2003,Argentina,3,9.398694,40.644691,24.041576,3,3.1336441,8
2004,Argentina,3,8.3002596,36.971409,22.682276,3,3.1336441,8
2005,Argentina,3,10.124463,36.796444,21.919519,3,3.1336441,8
2006,Argentina,3,9.7149019,35.894325,21.283245,3,3.1336441,8
2007,Argentina,3,8.0055161,35.861629,19.929234,3,3.1336441,8
2008,Argentina,3,8.855443,36.270454,19.940536,3,2.962697,8
2009,Argentina,4,5.0213218,30.182825,18.696262,3,2.962697,8
2010,Argentina,4,5.0255284,32.212379,18.221024,3,2.962697,8
2011,Argentina,4,5.008513,33.57156,17.93157,3,2.962697,8
2012,Argentina,4,4.2557859,29.196323,16.837948,3,2.9241731,8
2013,Argentina,4,3.7777135,28.719845,15.879037,3,2.9241731,8
2014,Argentina,4,2.9300001,29.27758,14.492253,3,2.9241731,8
2015,Argentina,4,1.1900001,22.93,17.219999,3,2.9241731,9
1970,Bolivia,0,2.3370805,48.949024,14.134556,2,1.908072,-5
1971,Bolivia,0,3.655174,45.796833,14.282241,2,1.908072,-7
1972,Bolivia,0,4.8129492,45.13158,13.49724,2,1.908072,-7
1973,Bolivia,0,10.349123,56.032127,13.431787,2,1.908072,-7
